entity_id,state,last_changed
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:53:24.224Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:53:34.228Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:53:47.495Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:53:57.523Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:54:12.752Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:54:27.772Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:54:48.625Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:55:03.655Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:55:05.677Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:55:24.935Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:55:35.203Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:55:55.232Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:55:57.696Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:56:34.415Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:57:31.628Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:57:41.738Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:57:59.994Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:58:14.561Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:58:32.238Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:58:53.606Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:59:18.713Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T13:59:28.721Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T13:59:42.771Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:00:14.807Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:00:21.590Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:00:36.637Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:41:39.123Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:41:49.155Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:42:12.750Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:42:22.756Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:49:16.536Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:49:26.560Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:49:37.533Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:49:47.565Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:50:27.391Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:50:37.441Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:50:52.928Z
